local,dia_semana,hora_dia,eventos_proximos,historico_ocorrencias_7d,iluminacao_ativa_pct,iluminacao_fonte,densidade_pessoas,acao_preventiva_necessaria
Praça Da Rua Elza Leal Wanderley,5,1,0,9,84.0,sintetica,12,0
Largo Visconde De Mauá,6,6,0,4,66.0,sintetica,37,0
Parque Do Forte Do Arraial Novo Do Bom Jesus,3,15,0,8,54.0,sintetica,38,0
Wilma Damasceno,5,20,0,7,51.0,sintetica,97,1
Praça Da Morena,0,18,0,12,74.0,sintetica,45,0
Praça Do Jordão,4,14,0,11,73.0,sintetica,42,0
Praça Jules Rimet,1,21,0,13,95.0,sintetica,31,0
Praça  Zeca Barbosa,1,10,0,2,70.0,sintetica,17,0
Praça Dom Bosco,5,0,0,8,99.0,sintetica,56,0
General Carlos Pinto,6,20,1,9,78.0,sintetica,64,1
Praça Esperança,4,6,0,2,91.0,sintetica,46,0
Sem Nome,6,19,0,9,33.0,sintetica,71,0
Praça Nova Bettis,6,7,0,11,37.0,sintetica,21,0
Praça Raizes,4,9,1,13,74.0,sintetica,29,1
Praça Sebastião Pontes,0,4,0,7,75.0,sintetica,29,0
Praça Do Forte Do Brum,5,8,0,0,68.0,sintetica,13,0
Praça Beira Rio,5,0,1,3,79.0,sintetica,39,0
Macaxeira,2,1,1,3,72.0,sintetica,40,0
Praça Estevão De Sá,5,18,0,5,90.0,sintetica,94,0
Praca General Carlos Pinto,1,13,0,11,25.0,sintetica,24,0
Praça Da Rua Abc,0,19,0,11,89.0,sintetica,47,0
Praça Professor Ageu Magalhães,4,9,1,1,27.0,sintetica,46,0
Praça Do Tourão,5,8,0,6,34.0,sintetica,37,0
Praça Santos Dumont,0,9,1,4,45.0,sintetica,20,0
Praça Parque Amorim,5,5,0,9,58.0,sintetica,23,0
"Praça. Ur 04 Ibura  , Junto Da Capela Nossa Senhora Aparecida Ur 4 Terminal",4,16,0,5,22.0,sintetica,20,0
Praça Da Rua Joaquim De Brito,3,5,0,10,76.0,sintetica,18,0
Praça Da Ong Do Rio - Nova Morada,4,3,0,13,29.0,sintetica,33,0
Praça Dona Carminha & Sr João,4,19,0,5,22.0,sintetica,70,0
Praça Othon Bezerra De Melo,4,2,0,13,65.0,sintetica,47,0
Horta Comunitária De Casa Amarela,5,22,0,13,41.0,sintetica,78,1
Praça Professor Paulo Silveira Do Nascimento,2,18,0,11,86.0,sintetica,50,0
Praça Dezessete,4,17,0,13,84.0,sintetica,46,0
Praça Da Portelinha,1,23,0,10,38.0,sintetica,51,0
Praça Sebastião Pontes,1,3,0,5,81.0,sintetica,41,0
Praça Vila 27 De Abril,0,7,0,9,76.0,sintetica,29,0
Praça Do Jordão,2,16,0,11,95.0,sintetica,23,0
Praça Da Rua Príncipe Da Beira,0,4,1,7,32.0,sintetica,47,0
Praça Otávio De Freitas,1,12,0,9,35.0,sintetica,13,0
Praça Da Rua Cordislândia,6,0,0,3,35.0,sintetica,33,0
Praça Eça De Queiroz,1,12,0,9,71.0,sintetica,41,0
Praça Boco-Moco/Da Ur 5,3,3,0,7,60.0,sintetica,19,0
Praça Dr Fernando Figueira,4,21,0,8,67.0,sintetica,75,0
Praça Adulccio Júnior,6,23,1,12,58.0,sintetica,93,1
Praça Cívica,1,13,1,12,32.0,sintetica,48,1
Praça Ayrton Senna,5,2,0,3,23.0,sintetica,41,0
Praça Do Salgueiro,5,4,0,0,62.0,sintetica,27,0
Pinto Damásio,0,6,0,2,65.0,sintetica,34,0
Praça De Casa Forte,6,0,0,0,66.0,sintetica,16,0
Fabiano Da Jora,0,22,0,6,72.0,sintetica,56,0
Praça Da Rua Água Preta,4,11,0,11,44.0,sintetica,27,1
Centro Social Bidu Krause,4,10,0,0,60.0,sintetica,56,0
